Calgary — Rental Market Statistics Summary by Zone
October 2021 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
Downtown,7.5,b ,**,,"1,208",a ,"1,100",a ,-1.1,d ,"5,901",
Beltline,4.3,b ,**,,"1,242",a ,"1,190",a ,-1.2,a ,"10,950",
North Hill,7.1,c ,**,,"1,204",b ,"1,050",a ,1.1,a ,"3,480",
Southwest,5.3,b ,**,,"1,206",a ,"1,179",a ,++,,"4,553",
Southeast,4.2,b ,**,,"1,254",a ,"1,250",a ,++,,"3,516",
Northwest,3.7,a ,**,,"1,281",a ,"1,250",a ,0.8,a ,"7,664",
Northeast,7.1,b ,**,,"1,308",a ,"1,295",a ,1.3,a ,"3,790",
Chinook,4.5,a ,**,,"1,180",a ,"1,145",a ,++,,"2,791",
Fish Creek,3.3,a ,**,,"1,187",a ,"1,160",a ,0.8,a ,"4,594",
Other Centres,2.4,a ,**,,"1,273",a ,"1,300",a ,2.7,a ,"1,798",
Calgary,4.9,a ,**,,"1,236",a ,"1,195",a ,++,,"49,037",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
"CMA, CA and CSD definitions are based on 2016 Census Geography Definitions"
Source,CMHC Rental Market Survey
